01,ANISAM A GO GO,ミルキィホームズ×i☆Ris×上坂すみれ×東山奈央
02,うまるん体操,妹S
03,かくしん的☆めたまるふぉ～ぜっ! ,妹S
04,ホトハシル,ORESAMA
05,流星ダンスフロア,ORESAMA
06,Snow halation,THE MONSTERS
07,Hell Yeah!!,ヘルシェイク矢野
08,POP TEAM EPIC,上坂すみれ
09,鏡面の波,YURiKA
10,Shiny Ray～MIND CONDUCTOR,YURiKA
11,オトモダチフィルム,オーイシマサヨシ
12,Jewelry,早見沙織
13,新しい朝,早見沙織
14,True Destiny,東山奈央
15,灯火のまにまに,東山奈央
16,FEELING AROUND,鈴木みのり
17,リワインド,鈴木みのり
18,Catch You Catch Me,早見沙織×鈴木みのり
19,アルカテイル,鈴木このみ
20,歌えばそこに君がいるから,鈴木このみ
21,私がモテないのはどう考えてもお前らが悪い,鈴木このみ
22,トクベツいちばん!!,麻倉もも
23,誓い,雨宮 天
24,フワリ、コロリ、カラン、コロン,夏川椎菜
25,Changing point,i☆Ris
26,キュウキョクのプリパラメドレー　Make it!～ミラクル☆パラダイス～Realize!～ドリームパレード～ブライトファンタジー～Goin’on～Ready Smile!!～Shining Star～Memorial,i☆Ris
27,Baby Sweet Berry Love,小倉 唯
28,永遠少年,小倉 唯
29,零,蒼井翔太
30,Eclipse,蒼井翔太
31,カーストルーム,ZAQ
32,JOURNEY,ZAQ
33,シュガーソングとビターステップ,ZAQとOxT
34,GO CRY GO,OxT
35,Silent Solitude,OxT
36,Brand New Theater!,アイドルマスター ミリオンライブ！ ミリオンスターズ
37,Princess Be Ambitious!!～Angelic Parade♪～FairyTaleじゃいられない,アイドルマスター ミリオンライブ！ ミリオンスターズ
38,UNION!!,イドルマスター ミリオンライブ！ ミリオンスターズ
39,正解はひとつ！じゃない!!,ミルキィホームズ
40,雨上がりのミライ～聞こえなくてもありがとう,ミルキィホームズ
41,Shining Storm ～烈火の如く～,JAM Project
42,THE HERO !! ～怒れる拳に火をつけろ～,JAM Project
43,VICTORY～GONG～鋼のWarriors,JAM Project
44,SKILL,JAM Project
45,Stand by...MUSIC!!!,アニサマ2018出演アーティスト 3rd Day
01,ギミー！レボリューション～アイマイモコ,内田真礼×水瀬いのり
02,うまぴょい伝説～Make debut!,ウマ娘 プリティーダービー
03,グロウアップ・シャイン！,ウマ娘 プリティーダービー
04,OH MY シュガーフィーリング!!,竹達彩奈
05,Hey!カロリーQueen,竹達彩奈
06,帰る場所があるということ,悠木碧
07,永遠ラビリンス,悠木碧
08,ゼンゼントモダチ,山崎はるか
09,Star Divine,スタァライト九九組
10,星のダイアローグ,スタァライト九九組
11,檄!帝国華撃団,スタァライト九九組
12,Million Futures,水瀬いのり
13,Starry Wish,水瀬いのり
14,NOISY LOVE POWER☆,大橋彩香
15,YES!!,大橋彩香
16,わたしのための物語 ～My Uncompleted Story～,fhána
17,ケセラセラ,fhána
18,青空のラプソディ,fhána
19,WANTED GIRL,TrySail
20,Truth.,TrySail
21,adrenaline!!!,TrySail
22,Los! Los! Los!,悠木碧(ターニャ・デグレチャフ)
23,aventure bleu,内田真礼
24,Smiling Spiral,内田真礼
25,One Unit,Minami
26,Precious Memories,Minami
27,Remained dream,原実里
28,みちしるべ,茅原実里
29,Sincerely,RUE
30,UNISONIA,TRUE
31,DREAM SOLISTER,TRUE
32,360°星のオーケストラ,petit milady
33,世界中が恋をする夜,petit milady
34,おねんねコンちゃん,petit milady
35,JOINT,Mimorin×Minorin（三森すずこ✕茅原実里）
36,Reason!!,アイドルマスター SideM
37,GLORIOUS RO@D,アイドルマスター SideM
