01,混ぜるな危険,筋肉少女帯×angela
02,週替わりの奇跡の神話,筋肉少女帯
03,絶対無敵☆Fallin' LOVE☆,地球防衛部
04,沸点突破☆LOVE IS POWER☆,地球防衛部
05,Honey♥Come!!,小倉 唯
06,ハイタッチ☆メモリー ,小倉 唯
07,courage,戸松遥
08,Q&Aリサイタル！,戸松遥
09,片想い接近,飯田里穂
10,Melody,Pile
11,伝説のFLARE～ドリームトリガー,Pile
12,Light for Knight,三森すずこ
13,ユニバーページ,三森すずこ
14,青春は食べ物です,petit milady
15,azurite,petit milady
16,もってけ！セーラーふく,ゆいかおり×petit milady
17,X-encounter ,黒崎真音
18,楽園の翼,黒崎真音
19,Z・刻をこえて,鮎川麻弥
20,Patria,Minami
21,時すでに始まりを刻む,Minami
22,chase,batta
23,Crazy Noisy Bizarre Town,THE DU
24,Ring Ring Rainbow!!,ゆいかおり
25,Promise You!!,ゆいかおり
26,whiz,TrySail
27,High Free Spirits,TrySail
28,Brand-new World,西沢幸奏
29,The Asterisk War,西沢幸奏
30,Night Drivin’ ,小野賢章
31,STORY,小野賢章
32,叫べ,沼倉愛美
33,Believe,沼倉愛美×三森すずこ
34,SAVIOR OF SONG,ナノ
35,Rock on.,ナノ
36,絶世スターゲイト,蒼井翔太
37,イノセント,蒼井翔太
38,波羅蜜恋華,ALI PROJECT
39,緋ノ糸輪廻ノGEMINI ,ALI PROJECT feat. petit milady
40,亡國覚醒カタルシス,ALI PROJECT
41,DEAD OR ALIVE,angela
42,KINGS～蒼い春～Peace of mind～Shangri-La～騎士行進曲,angela
43,シドニア,angela
44,PASSION RIDERS,アニサマ2016出演アーティスト
01,We Are B.B.クィーンズ～おどるポンポコリン,B.B.クィーンズ with B応P
02,はなまるぴっぴはよいこだけ,A応P
03,全力バタンキュー,A応P
04,Yes! BanG_Dream!,Poppin'Party from BanG Dream!
05,STAR BEAT!～ホシノコドウ～,Poppin'Party from BanG Dream!
06,DREAM SOLISTER,TRUE
07,トゥッティ！,北宇治カルテット
08,Bravely You,Lia
09,鳥の詩,Lia
10,やさしい希望,早見沙織
11,ブルーアワーに祈りを,早見沙織
12,Checkmate!?,MICHI
13,Hey!カロリーQueen,竹達彩奈
14,ライスとぅミートゅー,竹達彩奈
15,流星ドリームライン,プラズマジカ(SHOW BY ROCK!!)
16,青春はNon-Stop！,プラズマジカ(SHOW BY ROCK!!)
17,それが声優！,イヤホンズ
18,あなたのお耳にプラグイン！～乙女のポリシー,イヤホンズ with 石田燿子 feat. 永井ルイ
19,Steppin' out,FLOW
20,BURN,FLOW
21,風ノ唄,FLOW
22,GO!!!,FLOW
23,虹を編めたら,fhána
24,calling,fhána
25,時を刻む唄,Lia×fhána
26,おしえてブルースカイ,大橋彩香
27,裸足のままでもこわくない,大橋彩香
28,Rebirth-day,高垣彩陽
29,"Komm, süsser Tod〜甘き死よ、来たれ",高垣彩陽×早見沙織 feat.佐藤純一(fhána）
30,Naked Dive,SCREEN mode
31,ROUGH DIAMONDS,SCREEN mode
32,Divine Spell,TRUE
33,Clattanoia,OxT
34,STRIDER'S HIGH,OxT
35,創傷イノセンス～Resonant Heart,内田真礼
36,ギミー！レボリューション,内田真礼
37,Beat your Heart,鈴木このみ
38,Love is MY RAIL,鈴木このみ
39,Redo,鈴木このみ
40,Crow Song,Girls Dead Monster
41,Brave Freak Out,LiSA
42,oath sign,LiSA
43,シルシ,LiSA
44,PASSION RIDERS,アニサマ2016出演アーティスト
01,愛をとりもどせ!!,デーモン閣下×GRANRODEO
02,TRASH CANDY,GRANRODEO
03,アウトサイダー,GRANRODEO
04,Ripple Effect,春奈るな
05,Overfly,春奈るな
06,Shining Star-☆-LOVE Letter,井口裕香
07,Lostorage,井口裕香
08,カラフルストーリー,every♥ing！
09,ゆめいろ学院校歌,every♥ing！
10,セルリアンスカッシュ,相坂優歌
11,純真Always,田所あずさ
12,ブルーウォーター,田所あずさ×i☆Ris
13,Ready Smile!!,i☆Ris
14,Re：Call,i☆Ris
15,めざせポケモンマスター～OK!～ライバル！～タイプ：ワイルド～めざせポケモンマスター,松本梨香 with bless4 feat. i☆Ris
16,innocent promise,TRUSTRICK
17,Recall THE END,TRUSTRICK
18,DEAD OR LIE,黒崎真音 feat. TRUSTRICK
19,Believe,玉置成実
20,Belief,May'n
21,ヤマイダレdarlin’,May'n
22,ノーザンクロス～ユニバーサル・バニー～射手座☆午後九時 Don't be late～ライオン,May'n
23,PLANET / THE HELL,デーモン閣下
24,Red Zone,Zwei
25,The Beginning,山本陽介
26,カタラレズトモ,ZAQ feat. 山本陽介
27,割レル慟哭,ZAQ
28,hopeness,ZAQ
29,ALL-WAYS,山本陽介 feat. 玉置成実
30,Sweet Sensation,村川梨衣
31,INSIDE IDENTITY,村川梨衣×相坂優歌
32,不安定な神様,Suara
33,キミガタメ,Suara
34,エクストラ・マジック・アワー,AKINO with bless4
35,Golden Life,AKINO with bless4
36,Genesis of Aquarion～創聖のアクエリオン,AKINO with bless4
37,→unfinished→,KOTOKO
38,PLASMIC FIRE,KOTOKO×ALTIMA
39,Burst The Gravity,ALTIMA
40,CYBER CYBER,ALTIMA
41,M@GIC☆,アイドルマスター シンデレラガールズ
42,ミツボシ☆☆★～ØωØver!!～Tulip～Trancing Pulse～S(mile)ING!,アイドルマスター シンデレラガールズ
43,GOIN'!!!,アイドルマスター シンデレラガールズ
44,お願い！シンデレラ,アイドルマスター シンデレラガールズ
45,PASSION RIDERS,アニサマ2016出演アーティスト
